site,url,title,date,author,views,likes,comment_count,related_url,shoppingmall,product_name,price,deliveryfee,article,comments
fm,https://www.fmkorea.com/7138477950,"[쿠팡] 벨킨 3in1 (139,120원) (무료)",2024.06.13 16:32,포켓몬헌터,8045,-6,33,https://link.coupang.com/a/bFs9Y6,쿠팡,벨킨 3in1,"139,120원",무료,,코멘트
fm,https://www.fmkorea.com/7138350735,"[지마켓] 무궁화 타임비누 90g x 18개 (9,800원) (무료)",2024.06.13 15:56,Amapai,8615,5,28,https://item.gmarket.co.kr/Item?goodscode=3455708755,지마켓,무궁화 타임비누 90g x 18개,"9,800원",무료,"비누 18개 9,800원 무배,개당 544원",코멘트
fm,https://www.fmkorea.com/7138267285,"[쿠팡] 허쉬 코코아 파우더 226g 2개, (쿠팡와우) (11,100원) (무료)",2024.06.13 15:34,코코쟈니,14536,6,57,https://link.coupang.com/a/bFsHXm,쿠팡,"허쉬 코코아 파우더 226g 2개, (쿠팡와우)","11,100원",무료,"허쉬 코코아 가루이고 역대가임,국내에서 파는 코코아가루와는 달리,당은 전혀 포함되어있지 않으므로 단맛 없이 코코아맛만 남,프로틴 무맛 쉐이크에 코코아맛을 첨가하는 용도로 사용한다거나,집에서 쿠키나 브라우니같은거 베이킹한다거나,여기에 스테비아등의 인공감미료를 첨가해 제로코코아 제로 아이스코코아등을 만들어 먹으면 좋음",코멘트
fm,https://www.fmkorea.com/7138197127,"[11번가 타임딜] LG 휘센 벽걸이에어컨 SQ06EA1WCS (482,680원) (무료(설치))",2024.06.13 15:15,김치치즈스무디,7408,10,66,http://www.11st.co.kr/products/6810575419,11번가 타임딜,LG 휘센 벽걸이에어컨 SQ06EA1WCS,"482,680원",무료(설치),"참고로 올해 여름 뒤지게 더울 예정,근데 전기료고지서 보면 땀 더 날지도…",코멘트
fm,https://www.fmkorea.com/7138184938,"[11번가] 신지모루 고속충전 케이블 1+1+1 (3,300원) (무료)",2024.06.13 15:09,스콜스는오브콜스,15026,5,43,https://www.11st.co.kr/products/1409113792,11번가,신지모루 고속충전 케이블 1+1+1,"3,300원",무료,,코멘트
fm,https://www.fmkorea.com/7138156263,"[쿠팡] 오뚜기 불고기 피자 (냉동), 396g, 3개 (9,840원) (로켓프레시1.5만)",2024.06.13 15:00,밐키판더벤,2965,4,26,https://link.coupang.com/a/bFsqSv,쿠팡,"오뚜기 불고기 피자 (냉동), 396g, 3개","9,840원",로켓프레시1.5만,,코멘트
fm,https://www.fmkorea.com/7138034341,"[인터파크] 만화쇼 슬램덩크/나루토/나히아 (26,250~) (2,500원)",2024.06.13 14:55,리우리,7023,9,16,https://shopping.interpark.com/product/productInfo.do?prdNo=15447508494&uaTp=1&,인터파크,만화쇼 슬램덩크/나루토/나히아,"26,250~","2,500원",,코멘트
fm,https://www.fmkorea.com/7138122946,"[리퍼] 삼성 오디세이 Neo G7 S43CG700 (599,000원) (무료)",2024.06.13 14:50,코코코니,7145,8,30,https://ojens.co.kr/product/detail.html?product_no=55,리퍼,삼성 오디세이 Neo G7 S43CG700,"599,000원",무료,"아니 리퍼 자체가 처음 나온것 같아서 들고옴 몇개인지도 몰겠음,28개까지는 담기는데 29개부터 안담기는거 봐서 28개인듯 ,저기 들가서 그냥 구매하기 누르지말고 밑에 네이버페이로 구매하기 누르셈,그냥도 5,990원 적립해주고,플러스 멤버십에 네이버페이로 선충전해서 결제하면,27,115원 적립임,599,000원 - 적립27,115원 = 571,885원,어제 삼탠바이미 인기 좋아서 계속 찾다가 하나 더 들고 와봄,게이밍 들고오는게 좋아? 스마트모니터 들고오는게 좋아?,의견 주고 추천도 한번씩 부탁해,, 나도 핫딜 가보고 싶어,,",코멘트
fm,https://www.fmkorea.com/7138108799,"[지마켓] 오미자 닭갈비 500g 4팩 (유클멤버) (16,660원) (무료)",2024.06.13 14:48,시네키노,3542,5,31,https://link.gmarket.co.kr/VWCd0vv5E,지마켓,오미자 닭갈비 500g 4팩 (유클멤버),"16,660원",무료,난 에어후라이로만 조리해서 먹는데 맛남,코멘트
fm,https://www.fmkorea.com/7138003513,"[인터파크] 스트라이덱스 핌플패드 맥시멈 스트랭쓰 90매 (11,230원) (무료배송)",2024.06.13 14:13,우니짱,12795,6,49,http://m.shop.interpark.com/product/15364156578/0000100000,인터파크,스트라이덱스 핌플패드 맥시멈 스트랭쓰 90매,"11,230원",무료배송,"한국에서 파는 초록색보다 더 강함 ,피지, 여드름, 등드름에 효과 ㄱㅊ,개기름 잡아주는 느낌이니 참고,농협카드 10,560원 . 삼성/롯데카드 10,670원",코멘트
fm,https://www.fmkorea.com/7137885227,"[쿠팡] 팔도 비락식혜 제로, 238ml, 24개 (10,400원) (무배)",2024.06.13 13:36,wakfu,9461,7,40,https://link.coupang.com/a/bFrKSM,쿠팡,"팔도 비락식혜 제로, 238ml, 24개","10,400원",무배,,코멘트
