site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
arca,https://arca.live/b/hotdeal/109097219?p=1,0,라이프허브 콤부차,1,떠리몰,"3,900원",무료,먹거리,2024-06-18 03:23,강철야스돌,117
arca,https://arca.live/b/hotdeal/109094418?p=1,14,K-소세지 3종 (240g) 기한임박 냉동제품 (24년 7월20일~25년1월까지),180,라스트오더,"1,000원","3,000원",먹거리,2024-06-18 02:33,민즈,3458
arca,https://arca.live/b/hotdeal/109094381?p=1,1,퍼실 하이진젤 듀얼 세탁세제 2.7L용기 + 1.8L리필,1,위메프,"16,470원",무료,생활용품,2024-06-18 02:32,에부이,244
arca,https://arca.live/b/hotdeal/109092978?p=1,0,LG그램 2024년형 프로360 16TD90SP-KX56K CPU SSD 무상업그레이드,13,롯데온,"1,699,000원",무료,PC제품,2024-06-18 02:07,해바라기닉,985
arca,https://arca.live/b/hotdeal/109092817?p=1,2,테팔 티타늄 1X 심플리클린 프라이팬 20CM,4,위메프플러스,"14,350원",무료,생활용품,2024-06-18 02:04,ㅇㅇ,692
arca,https://arca.live/b/hotdeal/109090633?p=1,3,진쿡 치즈돈까스 200g x 10팩 + 소스 5팩,15,위메프,"24,990원",무료,먹거리,2024-06-18 01:25,ㅇㅇ,1297
arca,https://arca.live/b/hotdeal/109090050?p=1,0,LG 그램 17ZD90SU-GX56K,8,롯데온,"1,399,000원",무료,PC제품,2024-06-18 01:15,노노하,951
arca,https://arca.live/b/hotdeal/109089987?p=1,1,팔도비빔면 20개입,5,쿠팡,"13,860원",무료,먹거리,2024-06-18 01:14,ㅁㅁ,659
arca,https://arca.live/b/hotdeal/109089680?p=1,3,믈레코비타 멸균우유 1L x 12팩,15,티몬,"14,958원",무료,먹거리,2024-06-18 01:08,에부이,939
arca,https://arca.live/b/hotdeal/109089518?p=1,0,순수시그니처 27m 24롤 1팩+깨끗한 화장지 25m 30롤 1팩,0,깨끗한나라,"18,900원","2,500원",생활용품,2024-06-18 01:05,ㅇㅇ,306
arca,https://arca.live/b/hotdeal/109089286?p=1,1,하이마블 소갈비살 200g x 4팩,4,G마켓,"19,870원",무료,먹거리,2024-06-18 01:01,ㅇㅇ,698
arca,https://arca.live/b/hotdeal/109088345?p=1,4,마인크래프트 (모바일),21,구글 플레이 / 애플 앱스토어,"3,000원",무료,SW/게임,2024-06-18 00:40,유우카허벅지100kg,1779
arca,https://arca.live/b/hotdeal/109087532?p=1,6,10분어택 반건조오징어 750g,9,티몬,"7,200원",무료,먹거리,2024-06-18 00:21,ㅇㅇ,921
arca,https://arca.live/b/hotdeal/109087303?p=1,1,anker 10000mah pd30w 지원 보조 배터리,11,알리,$29.8,무료,가전제품,2024-06-18 00:14,밀키,1804
arca,https://arca.live/b/hotdeal/109087124?p=1,0,인텔 N95 미니PC,52,알리익스프레,$53.97,무료,가전제품,2024-06-18 00:10,응애나아기,3095
arca,https://arca.live/b/hotdeal/109086738?p=1,0,코주부 대용량 오리지널 육포 600g,9,위메프,"26,500원",무료,먹거리,2024-06-17 23:59,ㅇㅇ,1097
arca,https://arca.live/b/hotdeal/109086526?p=1,1,"롯데제과 맛있는 곡물로 만든 씨리얼 초코, 42g, 12개",9,쿠팡,"8,340원",무료,먹거리,2024-06-17 23:54,ㅇㅇ,922
arca,https://arca.live/b/hotdeal/109085992?p=1,1,"가루비 포테이토칩스 콘소메 펀치, 60g, 10개",14,쿠팡,"11,980원",무료,먹거리,2024-06-17 23:39,ㅇㅇ,961
arca,https://arca.live/b/hotdeal/109085111?p=1,2,리셀샤워기 1개 샤워필터 3개,6,티몬,"3,510원",무료,생활용품,2024-06-17 23:13,ㅇㅇ,1227
arca,https://arca.live/b/hotdeal/109084433?p=1,3,Edifier 에디파이어 스피커 MR4,18,위메프,"59,000원",무료,PC제품,2024-06-17 22:51,사랑,2032
arca,https://arca.live/b/hotdeal/109083617?p=1,2,LG전자 32UP830 32인치 4K UHD IPS HDR 모니터,9,위메프,"413,320원",무료,PC제품,2024-06-17 22:14,짐승이,1540
arca,https://arca.live/b/hotdeal/109083462?p=1,4,라이젠 7 5700X3D,44,알리,$115,무료,PC제품,2024-06-17 22:05,loremipsum,2608
arca,https://arca.live/b/hotdeal/109083167?p=1,0,Back 4 Blood,36,스팀,"6,880원",무료,SW/게임,2024-06-17 21:47,아코아기방무단점거범,1895
arca,https://arca.live/b/hotdeal/109079668?p=1,8,WD BLUE HDD (8TB) 토스페이,60,알리익스프레스,"146,374원",무료,PC제품,2024-06-17 18:04,준항고,5311
arca,https://arca.live/b/hotdeal/109079560?p=1,25,GS25 홍대쭈밥 [편붕이 픽],49,GS25,"4,900원",무료,먹거리,2024-06-17 17:59,편붕이임,4371
arca,https://arca.live/b/hotdeal/109079263?p=1,1,폴메디슨 시그니처 노세범 대용량 드라이샴푸 그린블라썸향 211ml,4,알리익스프레스,"3,699원",무료,생활용품,2024-06-17 17:49,ㅇㅇresu,965
arca,https://arca.live/b/hotdeal/109077562?p=1,1,크라운 참쌀선과 115g x 2개,14,쿠팡,"3,240원",무료,먹거리,2024-06-17 16:57,ㅇㅇ,1523
arca,https://arca.live/b/hotdeal/109075395?p=1,6,USB CtoC 3.1 10Gbps케이블(최대3m),22,알리익스프레스,$2.56,무료,가전제품,2024-06-17 16:11,판사님저는고양입니다,3630
arca,https://arca.live/b/hotdeal/109075202?p=1,0,베리밸류 신당 쭈꾸미 약간 매운맛 500g x 5,2,티몬,"29,750원",무료,먹거리,2024-06-17 16:08,로로이일로,782
arca,https://arca.live/b/hotdeal/109075054?p=1,6,반석스포츠 풀업밴드 1단계 라텍스 / 8각 아령 3kg,19,네이버멤버십,710원,무료,기타,2024-06-17 16:06,ㅇㅇ,2130
arca,https://arca.live/b/hotdeal/109074647?p=1,3,무안 햇양파 5kg (중/대 혼합),10,위메프,"5,900원",무료,먹거리,2024-06-17 15:59,ㅇㅇ,1029
arca,https://arca.live/b/hotdeal/109073801?p=1,6,염통꼬치 10꼬치 x 3세트,26,위메프,"6,920원",무료,먹거리,2024-06-17 15:45,ㅇㅇ,2364
arca,https://arca.live/b/hotdeal/109073664?p=1,5,헤드앤숄더 샴푸 린스 850ml 3개 + 미니삼푸 3개,7,오늘의집,"17,978원",무료,화장품,2024-06-17 15:43,ㅇㅇ,1098
arca,https://arca.live/b/hotdeal/109073306?p=1,7,켈로그 다크초코 550g 2봉+콘푸로스트600g1봉+시리얼볼,21,티몬,"10,512원",무료,먹거리,2024-06-17 15:38,ㅇㅇ,2046
arca,https://arca.live/b/hotdeal/109073064?p=1,0,"24년 햇 국내산 수미,두백 감자 10kg 중",9,위메프,"11,990원",무료,먹거리,2024-06-17 15:34,ㅇㅇ,713
arca,https://arca.live/b/hotdeal/109072103?p=1,1,팔도 비락식혜제로 238ml 24캔,9,티몬,"10,638원",무료,먹거리,2024-06-17 15:19,뚜비뚭바,994
arca,https://arca.live/b/hotdeal/109072051?p=1,1,고당도 항공직송 미국산 생체리 1kg 9.5row 특대과 농카,13,지마켓,"17,940원",무료,먹거리,2024-06-17 15:18,ㅇㅇ,1452
arca,https://arca.live/b/hotdeal/109071777?p=1,0,경북 신비복숭아 4kg 소과 실중량,6,위메프,"14,580원",무료,먹거리,2024-06-17 15:14,ㅇㅇ,824
arca,https://arca.live/b/hotdeal/109071193?p=1,2,발재반점 중화식 구운 주먹밥 게살맛 100g 2팩,9,위메프,"1,280원","3,000원",먹거리,2024-06-17 15:06,ㅇㅇ,1715
arca,https://arca.live/b/hotdeal/109065601?p=1,10,블랙타이거 치즈 새우구이 450g,32,알리익스프레스,"9,999원",무료,먹거리,2024-06-17 13:48,ㅇㅇ,6404
arca,https://arca.live/b/hotdeal/109064890?p=1,5,햇반 210g x 48개,18,티몬,"31,536원",무료,먹거리,2024-06-17 13:38,ㅇㅇ,1778
arca,https://arca.live/b/hotdeal/109062826?p=1,14,삼성 갤럭시북4 NT750XGR-A31A,45,11번가,"459,040원",무료,PC제품,2024-06-17 13:10,ㅇㅇ,6077
arca,https://arca.live/b/hotdeal/109062517?p=1,35,도쿄 -> 대만 3박4일 MSC 벨리시마 크루즈 11월 23일 출발,72,cruise.com,"314,459원","201,000원",기타,2024-06-17 13:06,ㅇㅇ,6524
arca,https://arca.live/b/hotdeal/109059920?p=1,14,투게더 5통 골라담기,70,티몬,"18,620원",무료,먹거리,2024-06-17 12:29,킬리안,5522
arca,https://arca.live/b/hotdeal/109058420?p=1,3,에브리빙 시어서커 이불 150x200,51,알리익스프레스,"12,050원",무료,생활용품,2024-06-17 12:08,뭼마,3535
