site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
arca,https://arca.live/b/hotdeal/109277766?p=1,1,청정 암꽃게 알배기 간장게장 2.2kg,12,남도장터,"17,920원",무료,먹거리,2024-06-20 03:12,ㅇㅇ,829
arca,https://arca.live/b/hotdeal/109277638?p=1,1,모즈모즈 반팔&반바지 세트,8,하이버,"28,815원",무료,의류,2024-06-20 03:11,무엇이될상이오,869
arca,https://arca.live/b/hotdeal/109273020?p=1,5,샤오미 JONR 물걸레 청소기 ED12,32,위메프,"117,710원",무료,가전제품,2024-06-20 02:08,ㅇㅇ,2153
arca,https://arca.live/b/hotdeal/109269791?p=1,0,쿨뱀부&모달 드로즈 3종,10,롯데온,"11,860원",무료,의류,2024-06-20 01:20,타일에놀,1329
arca,https://arca.live/b/hotdeal/109268505?p=1,1,하이마블 토마호크 스테이크,7,네이버,"17,920원",무료,먹거리,2024-06-20 01:01,ㅇㅇ,1522
arca,https://arca.live/b/hotdeal/109267788?p=1,12,지금 배추김치 10kg 라고,43,옥션,"26,180원",무료,먹거리,2024-06-20 00:50,벨벳,2109
arca,https://arca.live/b/hotdeal/109267742?p=1,23,쓱 이마트 한달 미구매 삼다수 2리터 6병,26,Ssg,"1,000원",무료,먹거리,2024-06-20 00:49,KKK,2403
arca,https://arca.live/b/hotdeal/109265447?p=1,2,"천연사이다 제로, 250ml, 30개",15,쿠팡와우,"11,770원",무료,먹거리,2024-06-20 00:07,별님미리내,1066
arca,https://arca.live/b/hotdeal/109264296?p=1,1,소프트99 유막제거 G73 + 슈퍼발수 DX,22,11번가,"24,930원",무료,생활용품,2024-06-19 23:45,ㅇㅇ,1972
arca,https://arca.live/b/hotdeal/109258479?p=1,10,양파 3kg 중대혼합,29,우체국 쇼핑몰,"4,000원",무료,먹거리,2024-06-19 19:46,매옹이,2488
arca,https://arca.live/b/hotdeal/109253121?p=1,8,도도한나쵸 오리지널 치즈맛 92g X 24개,28,지마켓,"20,860원",무료,먹거리,2024-06-19 16:52,ㅇㅇ,2837
arca,https://arca.live/b/hotdeal/109251033?p=1,6,팔도 왕뚜껑 18개 1박스 (카카오/토스),22,티몬,"13,947원",무료,먹거리,2024-06-19 16:12,준항고,2249
arca,https://arca.live/b/hotdeal/109249536?p=1,45,6월 미구매자 편의점 2천원권 할인,59,G마켓,100원,무료,모바일/상품권,2024-06-19 15:49,준항고,5258
arca,https://arca.live/b/hotdeal/109248831?p=1,8,"위트빅스 오리지날 시리얼, 1.2kg, 4개",49,쿠팡,"21,420원",무료,먹거리,2024-06-19 15:38,ㅇㅇ,3094
arca,https://arca.live/b/hotdeal/109248461?p=1,3,10분딜 한돈 대패 목살 냉동 600gx2팩,2,티몬,"14,500원",무료,먹거리,2024-06-19 15:33,ㅇㅇ,2389
arca,https://arca.live/b/hotdeal/109248166?p=1,1,빕스 단호박찹스테이크 360g + 감바스라이스 230g 외,8,티몬,"9,697원",무료,먹거리,2024-06-19 15:29,ㅇㅇ,1411
arca,https://arca.live/b/hotdeal/109247969?p=1,1,농심 육개장 86g 24개,14,티몬,"12,987원",무료,먹거리,2024-06-19 15:26,ㅇㅇ,1696
arca,https://arca.live/b/hotdeal/109247528?p=1,2,한솔닭갈비 통닭다리살 닭갈비 2.4kg (매운닭갈비 2 + 간장닭갈비 2),17,위메프,"15,950원",무료,먹거리,2024-06-19 15:20,ㅇㅇ,1888
arca,https://arca.live/b/hotdeal/109246953?p=1,2,양평해장국 700g 4팩 + 떡갈비 2장,10,11번가,"17,900원",무료,먹거리,2024-06-19 15:13,삼먁삼보리,969
arca,https://arca.live/b/hotdeal/109246947?p=1,3,구운계란 대란 60구,5,위메프,"11,830원",무료,먹거리,2024-06-19 15:13,ㅇㅇ,1079
arca,https://arca.live/b/hotdeal/109246306?p=1,7,초당옥수수 특품 10개,30,네이버,"7,900원",무료,먹거리,2024-06-19 15:04,gjapd,1664
arca,https://arca.live/b/hotdeal/109243541?p=1,2,휴대용 디지털 현미경 최대 8X~1000X 줌 가능.,23,알리,$11.48,무료,가전제품,2024-06-19 14:32,밀키,3633
arca,https://arca.live/b/hotdeal/109240965?p=1,18,대역전재판 할인,38,파나티컬,"18,507원",무료,SW/게임,2024-06-19 14:00,iraseonal,5998
arca,https://arca.live/b/hotdeal/109239520?p=1,3,통살 먹태 10마리 + 청양마요소스 2개,12,위메프,"13,900원",무료,먹거리,2024-06-19 13:43,마이혁,1954
arca,https://arca.live/b/hotdeal/109232485?p=1,6,로지텍 MX KEYS MINI,35,"ssg,이마트몰","65,500원",무료,가전제품,2024-06-19 12:24,ㅇㅇ,5645
arca,https://arca.live/b/hotdeal/109228043?p=1,2,ip67 방수 4.3인치 보어스코프 탑재 1080p 무선 내시경,46,알리,$12.56,무료,가전제품,2024-06-19 11:38,밀키,5246
arca,https://arca.live/b/hotdeal/109224124?p=1,10,"오리온 마켓오 브라우니 6p, 120g, 5개",41,쿠팡,"8,020원",무료,먹거리,2024-06-19 10:58,ㅇㅇ,3090
arca,https://arca.live/b/hotdeal/109221582?p=1,2,웰치스 제로 오렌지맛 355ml 뚱캔 24개,23,11번가,"11,790원",무료,먹거리,2024-06-19 10:31,마이혁,2029
arca,https://arca.live/b/hotdeal/109215736?p=1,14,신규 유저 전용 펩시제로 라임향 1.25L*12개,45,알리,"10,730원",무료,먹거리,2024-06-19 09:30,기린그린,6343
arca,https://arca.live/b/hotdeal/109213301?p=1,4,페리오 럭키치약 레트로 버전 120g x 9개,13,위메프,"9,900원",무료,생활용품,2024-06-19 09:01,ㅇㅇ,1767
arca,https://arca.live/b/hotdeal/109212974?p=1,2,육식토끼 소스 닭가슴살 100g x 30팩,40,육식토끼,"29,900원",무료,먹거리,2024-06-19 08:58,ㅇㅇ,3282
arca,https://arca.live/b/hotdeal/109211244?p=1,17,필라델피아 치즈케익 28OZ 794g(플레인/오레오),59,롯데온,"16,240원",무료,먹거리,2024-06-19 08:37,묵화마녀,4696
arca,https://arca.live/b/hotdeal/109209973?p=1,1,산청 쌀 메뚜기쌀 백미 10kg,18,네이버,"19,900원",무료,먹거리,2024-06-19 08:22,불금조아,1596
arca,https://arca.live/b/hotdeal/109208858?p=1,4,오대쌀 20kg 외 쌀 모음전,6,위메프,"47,790원",무료,먹거리,2024-06-19 08:10,ㅇㅇ,1302
arca,https://arca.live/b/hotdeal/109208571?p=1,20,수월우 베리에이션,105,쿠팡,"556,750원",무료,가전제품,2024-06-19 08:06,ㅇㅇ,11750
arca,https://arca.live/b/hotdeal/109208444?p=1,1,크리오 쿨맥스 스트롱민트향 치약 8개+칫솔 2개+여행용세트,1,네이버,"12,900원",무료,생활용품,2024-06-19 08:05,ㅇㅇ,1062
arca,https://arca.live/b/hotdeal/109208407?p=1,22,2년지난)투썸 아이스크림 3종 474ml / 3종 / 4개단위구매,81,떠리몰,"3,790원",무료,먹거리,2024-06-19 08:05,코랄부,8102
arca,https://arca.live/b/hotdeal/109204912?p=1,12,멕시카나 순살 닭강정 500G X 6개,47,SK스토아,"24,586원",무료,먹거리,2024-06-19 07:20,ㅇㅇ,5667
arca,https://arca.live/b/hotdeal/109200433?p=1,2,반건조 오징어 왕특대 5마리 850g,15,농협몰,"12,590원",무료,먹거리,2024-06-19 06:26,나구미,1935
arca,https://arca.live/b/hotdeal/109200171?p=1,7,펩시 제로 제로카페인 355 뚱캔 48개,36,티몬,"28,566원",무료,먹거리,2024-06-19 06:22,린네,4173
arca,https://arca.live/b/hotdeal/109198729?p=1,2,오리지날 어묵바 80g x 10개,3,T딜,"11,900원",무료,먹거리,2024-06-19 06:06,MK아웃,1493
arca,https://arca.live/b/hotdeal/109198409?p=1,2,1++ 한우 세절 국거리 600g,17,네이버,"12,440원",무료,먹거리,2024-06-19 06:03,고9마,2388
arca,https://arca.live/b/hotdeal/109197342?p=1,11,"소프트이어스 켈베로스 이어폰(와우 한정, 재고1개!)",113,쿠팡,"1,963,560원",무료,가전제품,2024-06-19 05:50,아지다하카,6868
arca,https://arca.live/b/hotdeal/109197118?p=1,3,풀무원 탄산수 브리지톡 500ml 20병,3,지마켓,"6,750원",무료,먹거리,2024-06-19 05:46,불금조아,1211
arca,https://arca.live/b/hotdeal/109194682?p=1,1,Yongse BlueMoon 이어폰 케이블(단 1개!),18,알리익스프레스,$13.32,무료,기타,2024-06-19 05:14,인간,2013
arca,https://arca.live/b/hotdeal/109194091?p=2,5,구운계란 대란 60구,10,네이버,"11,920원",무료,먹거리,2024-06-19 05:06,해바라기닉,1931
arca,https://arca.live/b/hotdeal/109193834?p=2,9,부여 굿뜨레 대추 방울토마토 2kg,7,SK스토아,"7,068원",무료,먹거리,2024-06-19 05:02,ㅇㅇ,1307
arca,https://arca.live/b/hotdeal/109190695?p=2,4,놀부 부대찌개 6팩 + 라면사리 4팩,18,티몬,"20,025원",무료,먹거리,2024-06-19 04:22,타일에놀,2249
