site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
fm,https://www.fmkorea.com/7145464770,8,"초코에몽, 190ml, 24개 (와우할인)",23,쿠팡,"12,880원",무료,먹거리,2024-06-15 16:13,통신문란
fm,https://www.fmkorea.com/7145356545,4,오!그래놀라 다이제+초코츄러스+미쯔 시리얼 3곽 외,16,롯데온,"토스카카오13,790",무로,먹거리,2024-06-15 15:34,인간사료
fm,https://www.fmkorea.com/7145306933,5,"리챔 오리지널 햄통조림, 120g, 10개",14,쿠팡,"11,100원",로켓와우회원무료,먹거리,2024-06-15 15:12,루시드폴
fm,https://www.fmkorea.com/7145175886,7,오리온 다이제 초코 6P 312g X 6개,14,지마켓,"13,020원",무배,먹거리,2024-06-15 14:25,긍까
fm,https://www.fmkorea.com/7145103915,10,"메가커피 몽글젤리 복숭아 스무디, 수박주스 20%할인",38,11번가,"3,120원",무료,먹거리,2024-06-15 13:57,기아히어로스
fm,https://www.fmkorea.com/7145052898,18,갤럭시 버즈 FE,70,학생복지스토어,"43,600원",무료,가전제품,2024-06-15 13:38,마크볼란
fm,https://www.fmkorea.com/7145011685,-4,낫소 버즈 샌들 외 다양,7,위메프,"4,490원~",무료,의류,2024-06-15 13:21,soul10
fm,https://www.fmkorea.com/7145000030,-20,아이뮤즈 뮤패드 K10 PLUS[RAM8G/UFS128GB] 케이스포함 패키지,35,11번가,"165,000원",무료배송,PC제품,2024-06-15 13:17,댓츠이너프
fm,https://www.fmkorea.com/7144972656,3,페브리즈 공기탈취제 에어 275g 3개 토스페이,9,롯데온,"9,590원",무료,생활용품,2024-06-15 13:06,나그파
fm,https://www.fmkorea.com/7144946722,6,"SAKURA 볼 사인 4X1 볼펜, 메탈릭 그린, 1개",35,쿠팡직구,"4,930원",와우무료,기타,2024-06-15 12:56,앙냥
fm,https://www.fmkorea.com/7144820768,-6,CGN 오메가800 90정 2통,15,지마켓,"42,530원",무료,먹거리,2024-06-15 12:39,3235fm
fm,https://www.fmkorea.com/7144783468,21,신상 Xinmeng x98pro v2 3모드 기계식키보드 저소음피치v3,118,티몬,"45,952원부터",무배,PC제품,2024-06-15 12:06,토요토리
fm,https://www.fmkorea.com/7144762657,8,LG 스타일러 S5MBAUE 5벌+1벌 (카할),14,지마켓,"998,820원",무배,가전제품,2024-06-15 11:49,뜡뜡한뜡이
fm,https://www.fmkorea.com/7144712323,5,오리온 초코파이 12개입 3박스,17,쿠팡,"9,900원",로켓와우무료,먹거리,2024-06-15 11:27,어푸어푸살려줭
fm,https://www.fmkorea.com/7144691316,-16,화장품 체험 이것저것,21,무신사,"3,500원",-,화장품,2024-06-15 11:17,6x9=74
fm,https://www.fmkorea.com/7144685181,14,플레이보이 남자 드로즈 10장,29,롯데온,"23,210원",무료,의류,2024-06-15 11:13,Amapai
fm,https://www.fmkorea.com/7144663295,10,"질레트 프로쉴드,스킨텍,랩스,날 16입등 토스페이",16,롯데온,"35,650원",무료,생활용품,2024-06-15 11:07,foldings
