site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617375?page=1, 5 ,[알리] loxjie A30 올인원 앰프,14,기타 쇼핑몰,$ 118.49 (USD),배송비 무료,PC제품,2024-06-20 11:34,user_922406,3.2k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617369?page=1, 0 ,[오늘의집] 오세페 삼성전자 32인치 모니터 S32CG510 외 4건 할인 행사 안내(6/17~30...,0,기타 쇼핑몰,"￦ 289,420 (KRW)",배송비 무료배송,PC제품,2024-06-20 11:27,삼성공식파트너동명,926
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617358?page=1, 2 ,"[네이버] 제닉스 MASTER-9 기계식 게이밍키보드 출시특가(109,000원/배송비2500원)",0,기타 쇼핑몰,"￦ 109,000 (KRW)","배송비 2,500",PC제품,2024-06-20 11:23,제닉스홀릭,1.4k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617353?page=1, 0 ,[아이노비아샵] 아이노비아 7 in 1 무전원 C타입 PD100W 4K60Hz 미러링 랜 멀티허브 ...,1,기타 쇼핑몰,"￦ 21,900 (KRW)","배송비 3,000",기타,2024-06-20 11:20,아이노비아,1.4k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617346?page=1, 39 ,[SSG] 제주 삼다수 2L 6병(한달간 구매이력X),41,기타 쇼핑몰,"￦ 1,000 (KRW)",배송비 무료,기타,2024-06-20 11:15,니나브양,2.6k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617335?page=1, 1 ,"[쿠팡] 드리미 핸디형 무선청소기 T30 (179,000원/무료)",2,기타 쇼핑몰,"￦ 179,000 (KRW)",배송비 무료,가전제품,2024-06-20 11:01,40시리즈가즈아,1.2k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617329?page=1, 0 ,[알리] CORSAIR VENGEANCE RGB DDR5 6200Mhz WHITE/BLACK 32G...,2,기타 쇼핑몰,"￦ 153,725 (KRW)",배송비 0,PC제품,2024-06-20 10:55,더더1018,2.1k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617325?page=1, 1 ,[H몰] 스타종족최강자전 LG 울트라기어 32인치 게이밍모니터 32GQ950 외 1종 할인안내 (6...,2,기타 쇼핑몰,"￦ 954,760 (KRW)",배송비 무료,PC제품,2024-06-20 10:45,LG대장,1k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617323?page=1, 5 ,"[컴퓨존] 카멜마운트 PMA2X 초고중량 모니터암 단독특가 ( 79,000원/무료 )",10,기타 쇼핑몰,"￦ 79,000 (KRW)",배송비 무료배송,기타,2024-06-20 10:43,카멜,1.6k
qz,https://quasarzone.com/bbs/qb_saleinfo/views/1617314?page=1, 1 ,"[네이버 쇼핑] 삼다수 그린(무라벨) 2L 24입 20,430원 ( 1개 약 850원 )",0,기타 쇼핑몰,"￦ 20,430 (KRW)",배송비 0,기타,2024-06-20 10:33,Black.T,724
