recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
0,뮤지컬 디어 에반 헨슨,0,위메프,"최저29,750원",무료,패키지/이용권,17:08,장모치와와
1,스틸시리즈 아크틱스 7P+ 와이어리스 61471 헤드셋,19,네이버,"149,400원",무배,PC제품,15:55,wakfu
-1,아스토니쉬 가죽클리너 250ml,16,위메프,"3,900원",만원이상무배,기타,15:35,우니짱
9,"프링글스 오리지날,양파 12개 / 카카오+티멤버쉽",17,11번가,"15,140원",무료,먹거리,15:01,인간사료
12,미즈노 데일리 미드삭스 5족,45,무신사,"8,900원",무료,의류,14:05,나이끼
14,(카카오페이)해태 에이스 오리지널 364g x 10개,24,11번가,"20,720원",무료,먹거리,13:47,허거덩이
12,"낫소/GAP 샌들,슬리퍼,아쿠아슈즈,레인부츠",19,위메프,"4,490원~",무료,의류,13:03,우주선미
17,웰치스 제로 포도 355ml 24캔 + 웰치스 스피드 종 게임,38,G마켓,"12,550원",무료,먹거리,13:02,허거덩이
18,오리온 나 치즈 샌드 10개 / 나 샌드+다이제샌드 (총 10개),57,롯데온,"카카오토스10,320",무료,먹거리,12:10,인간사료
6,국산 포기김치 10kg 농협,13,지마켓,"32,980원",무료,먹거리,12:00,본인:
37,육식토끼 닭가슴살 소시지 70g 후랑크훈제 20팩,37,떠리몰,"페이코13,110",0원,먹거리,11:38,히트만
5,20-21 벨기에 홈 유니폼 M사이즈,5,쿠팡,"47,600원","3,500원",의류,11:34,천시섭
2,락토핏 골드 50포 6통 + 증정,11,위메프,"49,200원",무료,먹거리,11:28,종말의늪
4,필립스 전기면도기 SkinIQ 7000 시리즈 S7782/65 미드나잇 블루 와우,15,쿠팡,"173,490원",무료,가전제품,11:13,제발그만해줘
10,히말라야 립밤 10g x 10개,10,티몬,"8,590원",무료,화장품,11:02,종말의늪
38,펩시제로슈거 라임향 210ml 60캔,29,네이버,"22,520원",무료,먹거리,10:35,아메카노
13,매일 두유 99.9 190ml x 24팩,22,쿠팡,"9,980원",와우무료,먹거리,10:29,인간사료
10,6월 게임패스 및 무료게임,11,스토브,무료,무료,SW/게임,10:24,에일로이
5,헬로 순수 라벤더 3겹 천연펄프 화장지 30m 30롤 2팩,1,위메프,"16,590원",무료,생활용품,10:18,우니짱
9,"쿠폰가 7,900원 / 1만이상 카카오토스10% 국내산 대추방울토마토2kg/3kg 소과 외 완숙토마토",22,티몬,"8,700원",무료,먹거리,09:56,응급환자
0,뮤지컬 디어 에반 헨슨,0,위메프,"최저29,750원",무료,패키지/이용권,17:08,장모치와와
1,스틸시리즈 아크틱스 7P+ 와이어리스 61471 헤드셋,19,네이버,"149,400원",무배,PC제품,15:55,wakfu
-1,아스토니쉬 가죽클리너 250ml,16,위메프,"3,900원",만원이상무배,기타,15:35,우니짱
9,"프링글스 오리지날,양파 12개 / 카카오+티멤버쉽",17,11번가,"15,140원",무료,먹거리,15:01,인간사료
12,미즈노 데일리 미드삭스 5족,45,무신사,"8,900원",무료,의류,14:05,나이끼
14,(카카오페이)해태 에이스 오리지널 364g x 10개,24,11번가,"20,720원",무료,먹거리,13:47,허거덩이
12,"낫소/GAP 샌들,슬리퍼,아쿠아슈즈,레인부츠",19,위메프,"4,490원~",무료,의류,13:03,우주선미
17,웰치스 제로 포도 355ml 24캔 + 웰치스 스피드 종 게임,38,G마켓,"12,550원",무료,먹거리,13:02,허거덩이
18,오리온 나 치즈 샌드 10개 / 나 샌드+다이제샌드 (총 10개),57,롯데온,"카카오토스10,320",무료,먹거리,12:10,인간사료
6,국산 포기김치 10kg 농협,13,지마켓,"32,980원",무료,먹거리,12:00,본인:
37,육식토끼 닭가슴살 소시지 70g 후랑크훈제 20팩,37,떠리몰,"페이코13,110",0원,먹거리,11:38,히트만
5,20-21 벨기에 홈 유니폼 M사이즈,5,쿠팡,"47,600원","3,500원",의류,11:34,천시섭
2,락토핏 골드 50포 6통 + 증정,11,위메프,"49,200원",무료,먹거리,11:28,종말의늪
4,필립스 전기면도기 SkinIQ 7000 시리즈 S7782/65 미드나잇 블루 와우,15,쿠팡,"173,490원",무료,가전제품,11:13,제발그만해줘
10,히말라야 립밤 10g x 10개,10,티몬,"8,590원",무료,화장품,11:02,종말의늪
38,펩시제로슈거 라임향 210ml 60캔,29,네이버,"22,520원",무료,먹거리,10:35,아메카노
13,매일 두유 99.9 190ml x 24팩,22,쿠팡,"9,980원",와우무료,먹거리,10:29,인간사료
10,6월 게임패스 및 무료게임,11,스토브,무료,무료,SW/게임,10:24,에일로이
5,헬로 순수 라벤더 3겹 천연펄프 화장지 30m 30롤 2팩,1,위메프,"16,590원",무료,생활용품,10:18,우니짱
9,"쿠폰가 7,900원 / 1만이상 카카오토스10% 국내산 대추방울토마토2kg/3kg 소과 외 완숙토마토",22,티몬,"8,700원",무료,먹거리,09:56,응급환자
